"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","HTLD","SKYW","NXTM","NTGR","AHGP","SFLY","ISCA","EGOV","MANT","SYNT","COKE","WDFC","NAVG","CSQ","FOSL","PLCE","SCHL","EXLS","ABCB","ASTE","TTMI","IRBT","PRAA","BOFI","OSIS","CENT","RMBS","GIII","CCMP","PRGS","HUBG","HMSY","ROCK","ININ","CSGS","CNSL"
"13",18.153,12.067891,33.65736,28.459999,5.64,15.183681,34.417706,35.331795,37.307297,21.451065,22.897371,4.590191,24.690001,12.72,31.266106,14.461714,14.041687,24.040001,34.650002,31.860096,33.290001,27.567886,8.920896,34.208973,17.217541,50.132099,34.987061,48.801956,5.681074,71.050003,40.736458,27.04216,19.059999,9.34162,27.974585,15.9,27,24.046671,3.7775,37.990002,9.71,20.49,17.445,31.694765,28.639999,34.779999,21.446671,11.03,32.73,18.010818,11.362314
"14",18.667,12.284909,35.031918,29.5,5.43,15.26258,31.979391,38.164131,37.676369,20.493816,25.482592,6.525364,25.594999,13.44,30.888039,14.966927,15.394541,20.629999,32.799999,35.84343,42.700001,26.414856,8.842414,36.752739,16.254322,53.791885,36.13345,52.312027,5.970913,76.739998,44.44154,28.561178,22.219999,9.890552,31.905897,17.540001,28.719999,27.783331,3.78,37.619999,9.13,20.549999,19.66,34.301449,29.360001,34.959999,25.18667,10.83,34.41,18.103416,11.707986
"15",18.6047,12.55299,37.006638,27.02,7.34,16.007738,34.370815,36.717648,41.840359,23.034876,26.864933,8.105288,24.875,13.35,31.245739,15.842755,15.823678,21.98,32.439999,34.153316,52.360001,28.396923,10.86553,36.072132,16.143183,62.312817,37.626419,51.354736,6.016289,93.650002,48.457813,24.59536,21.15,9.959167,34.656887,18.16,32.889999,28.376671,3.88,37.529999,8.81,19.75,18.785,36.711403,29.09,36.189999,27.283331,11.93,38.709999,18.464561,11.970439
"16",18.9392,12.492519,38.003677,28.42,8.01,17.322721,30.281954,38.643097,43.371105,22.818764,27.171755,7.796782,28.924999,13.52,28.782459,15.580816,15.449596,24.639999,41.75,33.964802,61.560001,29.159258,11.214342,37.33976,16.900427,65.678307,37.124775,51.683807,6.192129,95.779999,51.705833,23.99472,20.719999,9.743516,36.041672,19.120001,35.419998,30.08667,4.2,38.389999,9.77,19.9,22.43,34.329556,29.65,40.279999,26.23667,11.68,37.419998,19.659107,12.021725
"17",18.1287,12.890343,38.720001,28.049999,7.46,15.166147,27.602016,35.321598,40.151073,21.868345,24.324297,6.450575,28.43,12.44,30.648867,15.011779,14.430223,18.809999,41.849998,30.892292,60.619999,27.436604,11.38875,38.66523,16.650072,63.149158,37.911999,47.685116,6.119948,105.839996,48.856522,24.871239,23.48,9.135772,34.870644,16.559999,33.599998,28.873329,3.785,39.98,10.22,14.57,21.459999,35.306183,27.07,38.16,26.02,13.06,36.310001,17.677456,12.512007
"18",18.9392,13.820039,36.551678,25.74,8.6,15.025882,22.625532,36.866077,43.689781,21.886276,25.849571,7.675249,25.6,13.34,35.419193,14.976175,14.121704,20.82,43.720001,32.792244,57.419998,27.244804,11.737562,38.149921,18.292095,63.308231,34.924126,46.867428,6.016091,117.720001,43.264862,24.286892,23.1,8.694667,34.368774,16.02,35.290001,28.26333,3.6025,43,10.38,14.68,17.25,32.650314,24.129999,37.66,25.623329,11.32,35.049999,17.112591,12.70812
"19",17.582,14.62001,36.754959,24.57,8.54,13.772264,27.82865,34.045723,42.263329,20.57572,25.635967,8.189425,25.030001,16.75,33.96595,13.854771,12.058771,18.4,32.91,32.884281,54.400002,26.822851,11.13586,35.040901,17.00806,60.370186,39.413479,47.007034,5.808653,125.669998,46.989391,26.222538,23.34,9.919958,34.870644,13.85,35.009998,26.976669,3.5,41.290001,8.94,13.88,15.435,27.184004,24.1,35.48,25.200001,10.28,38.009998,16.445868,12.014564
"20",16.4284,14.084372,33.8316,24.43,7.73,12.334549,28.857943,30.881302,35.984711,20.339821,24.286406,5.702682,19.76,19.639999,37.546814,13.746248,11.955626,18.389999,27.82,31.629139,53.66,24.128099,10.133022,32.198124,14.158428,52.606274,37.019875,44.643719,5.571201,96.610001,41.738094,25.444605,25.950001,9.018144,32.166126,11.17,27.82,24.376671,3.545,38.880001,7.84,11.61,14.13,27.935797,20.82,31.49,26.23,8.88,32.32,12.37144,12.741305
"21",14.9407,13.633254,32.902321,23.9,6.63,10.467272,22.71052,29.411222,43.76458,18.242435,22.154121,6.179464,17.5,20.440001,31.387386,12.280696,10.829162,20.860001,25.889999,29.291914,41.18,21.903252,9.984776,26.950575,13.380916,52.098999,35.850071,43.08812,5.093844,81.059998,45.248684,25.692085,22,8.537829,27.212486,9.51,25.16,20.74,3.365,33.52,6.9,14,11.43,24.162779,17.549999,28.27,24.389999,8.12,27.08,11.704717,12.034565
"22",15.856,14.472367,39.203999,33.790001,7.95,12.071552,26.506624,34.234627,45.607296,20.755917,25.658365,8.50728,19.01,32.560001,35.30962,12.144847,12.616773,22.99,35.459999,32.228428,41.669998,22.881418,12.042774,30.171247,15.149961,52.719002,39.859245,45.491322,5.598649,103.660004,45.65712,24.696255,26.08,9.831737,30.902157,11.17,33.860001,23.379999,3.825,44.299999,8.65,17.700001,14.095,27.064562,21.059999,31.26,24.440001,11.16,27.75,13.186325,12.862826
