"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC"
"55",19.1917,62.240002,35.200001,36.899799,60.652126,112.589996,37.77,200.143555,54.049999,38.470001,20.020876,76.940002,114.389999,53.77544,54.209999,35.081341,30.9,63.48,62.922901,56.518505,17.337879
"56",19.1935,61.985001,44.009998,40.053951,65.485214,124.190002,40.900002,182.235062,57.080002,39.93,21.937067,81.300003,118.459999,54.503918,54.459999,37.11845,33.259998,66.669998,63.887276,55.995457,17.735331
"57",18.6976,58.915001,37.18,40.813988,60.164234,118.739998,39.700001,176.755157,55.119999,42.009998,21.448708,75.669998,112.059998,53.718781,51.68,35.414333,30.5,70.639999,65.448166,54.117756,16.418446
"58",18.423,70.834999,36.669998,40.831043,71.618034,122.980003,40.98,179.523438,59.759998,41.650002,21.828163,78.559998,121.129997,53.42799,52.619999,37.862778,26.860001,72.870003,66.949402,58.162491,17.738461
"59",18.537,74.675003,36.439999,40.592545,75.410156,129.190002,43.389999,171.146805,60.099998,48.189999,21.382303,83.519997,121.269997,57.471333,56.900002,38.812778,28.129999,81.040001,72.944435,59.970886,18.175365
"60",18.6183,74.135002,32.130001,39.543148,77.262817,130.470001,43.470001,142.544083,57,55.790001,18.837898,82,125.959999,56.635311,55.91,39.452644,26.540001,77.639999,75.728188,60.634411,17.362286
"61",18.9043,79.209999,31.16,36.211601,79.566391,111.620003,42.990002,141.767929,54.48,66.239998,16.261288,80.669998,117.129997,55.089653,53.049999,39.580734,23.84,70.120003,74.336311,59.883064,17.313435
"62",19.525,78.415001,36.25,37.025887,86.542221,118.120003,46.41,137.883026,64.019997,68.440002,17.38736,85.970001,123.349998,56.761662,57.349998,42.408638,26.139999,78.120003,74.226952,64.154434,17.400827
"63",20.1382,77.239998,35.349998,33.969933,83.537003,114.940002,46.32,121.801506,66.970001,64.019997,19.314651,88.190002,129.580002,51.56517,53.790001,43.443233,25.200001,77.300003,76.334648,68.454254,17.488361
"64",20.4883,62.685001,34.34,34.887486,84.519096,122.019997,46.880001,107.471352,63.509998,63.639999,21.265335,85.839996,134.089996,49.313034,58.84,44.990204,25.43,71.129997,70.051308,65.143692,17.097586
"65",20.2691,67.800003,43.09,32.144608,85.778252,125.690002,49.889999,97.85804,63.189999,59.790001,20.957838,89,139.649994,41.571415,60.669998,47.138226,23.440001,68.010002,70.906319,63.987782,17.448166
"66",19.8307,64.139999,48.400002,30.373766,88.5345,120.349998,50.650002,95.894844,61.720001,65.300003,20.03525,91.239998,146.389999,39.700504,62.709999,48.545189,23.459999,68.610001,68.579895,63.614151,15.525317
"67",20.0542,72.730003,47.869999,30.150921,91.074181,134.139999,50.84,100.326599,70.940002,62.860001,19.368055,94.150002,145.589996,44.578583,62.700001,52.782871,23.1,73.150002,64.851646,68.687553,16.451031
"68",19.5332,71.470001,40.27,30.934942,84.15831,121.410004,46.93,73.303146,68.940002,64.010002,18.836229,88.599998,133.490005,44.59948,56.599998,50.079868,18.9,66.489998,61.749744,66.819443,16.51091
"69",19.8806,74.25,38.560001,28.650635,83.181679,115.800003,46.18,51.883583,70.559998,50.650002,16.74621,88.139999,137.559998,44.038544,56.759998,47.753101,16.42,61,56.689266,68.703537,16.307993
"70",20.9458,68.620003,41.490002,33.099682,91.142731,110.199997,49.98,68.321846,80.599998,49.169998,18.003637,95.309998,148.919998,45.662312,65.459999,51.307606,22.75,61.939999,59.28413,76.332878,15.722528
"71",20.8872,70.82,41.98,29.848124,88.337105,103,50.080002,61.726093,89.440002,47.82,16.950907,93.209999,158.149994,47.880856,66.739998,53.852192,22.9,63.709999,54.203766,78.595985,16.005497
"72",20.4966,72.919998,44.880001,25.827488,84.530754,96.959999,45.610001,68.03933,87.360001,52.470001,17.553514,92.5,153.369995,47.366962,65.849998,52.133961,21.450001,59.07,47.970135,77.289017,15.637575
