"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","NWBI","HTLD","SKYW","NXTM","NTGR","AHGP"
"26",17.3814,16.867182,44.053677,36.75,9.39,14.648955,30.58873,35.941341,45.487427,21.745724,24.424631,7.712644,23.389999,25.85,43.769928,9.496087,13.123725,10.778088,20,37.57,34.323956
"27",17.7325,16.762033,44.653839,36.509998,11.16,15.041339,32.815788,35.767895,49.028416,22.320343,20.453119,7.768736,23.65,27.879999,39.669254,9.556284,13.132212,10.466434,19.27,38.200001,29.711948
"28",17.8405,15.949002,45.379841,30.709999,10.77,13.637481,35.594852,36.500214,47.715572,21.250891,21.977747,7.245211,20.41,29.030001,39.449345,9.270349,12.560061,8.515224,17,38.5,30.530649
"29",17.0063,15.7321,44.915203,26.82,9.88,11.93424,36.021034,39.370667,50.965553,21.898674,19.723299,6.198161,18.9,24.559999,32.402126,8.715648,12.932413,6.677679,15.19,31.389999,28.798712
"30",16.106,17.307964,45.7864,28.629999,10.72,13.497372,37.293488,35.984459,42.50531,21.540413,19.415394,6.300996,16.67,24.67,31.874718,8.898015,13.014485,6.223262,16.76,34.509998,28.736362
"31",17.6618,16.701523,45.341122,26.379999,10.25,12.689461,30.548515,33.997116,34.165661,20.810076,21.18672,6.095325,17.440001,21.15,31.711699,8.943842,12.641603,6.671184,15.05,34.630001,33.086994
"32",18.7908,18.02758,44.518322,30.42,9.93,13.501026,36.767284,33.466469,41.021389,20.061707,21.799614,8.095939,18.6,22.139999,32.45966,9.273958,11.841272,8.358041,12.75,36.57,34.031944
"33",18.5901,20.163252,46.560799,24.02,11,12.095222,39.742729,29.418419,41.504234,19.304258,21.102646,9.928276,19.02,23.139999,33.841393,9.389114,12.169012,9.883142,13.21,38.139999,33.71553
"34",18.7035,19.405531,48.070881,23.16,9.46,12.528457,36.834255,28.587553,42.374168,20.931021,22.929548,10.161992,16.5,27.52,32.620064,9.228755,12.706416,10.466755,11.2,35.509998,34.636642
"35",18.001,20.688133,45.099121,26.719999,9.81,14.367496,36.221439,30.105284,44.871719,20.966942,20.362226,8.413793,17.110001,25.370001,30.850584,9.252021,12.506028,11.088637,12.02,34.860001,32.738976
"36",18.0349,18.10043,48.467758,29.969999,10.59,14.544328,36.586926,32.524544,44.478844,20.947609,20.788305,9.90023,18.23,25.200001,33.772015,9.510303,12.863267,11.921003,11.25,39.43,33.944664
"37",19.9491,18.846458,51.042641,35.080002,11.02,15.516895,39.097225,36.192142,47.219604,22.88341,22.915113,13.443372,17.02,26.99,35.049351,9.557305,13.611246,12.131186,11.7,35.110001,36.027855
"38",20.4111,18.308376,48.245121,34.759998,10.7,15.7733,39.0299,40.538204,47.613804,22.30212,22.623039,14.007315,17.33,24.389999,35.852524,9.800156,13.355358,13.43644,11.23,34.049999,37.606247
"39",20.7532,19.24437,48.942081,40.689999,9.8,16.672718,38.289314,42.089535,51.264854,23.387194,23.209656,16.967138,17.040001,24.969999,38.426548,9.933331,13.147739,15.443314,11.28,33.509998,38.134789
"40",20.8012,19.492315,46.560799,41.23,9.34,18.113243,37.12553,40.150372,57.496979,22.290762,27.119226,22.952768,15.47,33.84,40.023224,9.783875,13.374424,13.769087,11.17,29.790001,45.005859
"41",21.3802,20.433136,47.39328,41.259998,11.24,18.819613,38.1903,41.4683,64.959167,24.300426,26.745312,26.502388,16.6,38.119999,45.605457,9.903678,14.143184,13.490048,13.95,33.279999,46.731171
"42",20.7752,21.241508,50.287601,38.560001,13.91,18.86496,38.586605,39.399258,62.512138,23.514832,26.134773,33.563381,16.26,39.389999,46.604469,10.790217,13.699668,13.066147,14.28,30.540001,46.745838
"43",20.8149,23.145983,53.104481,40,13.72,18.202873,39.872185,53.571724,66.483856,23.407812,28.314213,34.112362,17.68,39.860001,41.793686,11.140965,14.528755,14.590853,12.96,29.809999,46.599182
"44",19.2507,20.839605,57.818638,38.66,11.57,16.722815,36.189442,50.708019,61.773464,22.415462,28.291365,31.891901,19.280001,41.880001,43.044712,10.754014,13.739148,12.438895,12.35,28.940001,45.600163
"45",17.7303,21.953974,63.781521,44.25,11.8,17.634636,40.587467,52.692757,61.733974,22.697601,27.859177,42.28503,18.799999,45.93,45.144928,10.649215,14.025662,14.049291,13.16,30.860001,44.442348
"46",17.4352,23.198725,66.588722,46.48,11.02,17.342854,51.152386,55.728233,59.813068,22.580252,28.52813,42.171032,17.059999,45.439999,44.72683,11.380109,14.193694,14.552433,13.27,28.76,44.264221
"47",17.09,25.128523,66.201523,50.509998,12.28,18.33152,50.439354,52.089684,64.667381,23.467472,27.958387,47.307365,16.35,46.07,51.591427,12.152883,18.117718,16.352135,10.21,32.110001,41.198425
"48",16.7625,27.543055,68.486,51.810001,11.75,18.065712,50.604347,54.389191,68.442963,24.11095,29.381683,53.079113,17.58,42.099998,54.919056,12.022732,19.413973,14.349241,10,32.939999,44.118057
"49",17.5769,23.201401,62.765118,58.360001,13,18.194035,51.00227,57.711784,70.547501,25.459133,31.442217,45.764423,15.27,39.459999,54.090786,11.621778,20.83885,12.622288,12.95,31.91,47.052738
"50",17.8637,24.209955,62.194,65.040001,13.45,19.908031,54.088612,57.711987,72.910149,25.253975,33.359924,40.795452,16.389999,35.18,58.134682,11.861488,20.165991,12.321526,13.87,34.18,47.437843
"51",18.0609,28.911947,61.661602,60.02,14.17,21.758869,53.710098,64.202507,74.475769,24.921816,32.577805,35.863293,15.43,33.560001,55.528004,12.068134,22.471943,12.418977,12.74,33.73,47.376827
"52",18.8196,27.733644,60.267677,62.150002,12,20.193483,49.002945,46.097363,78.062447,25.059225,36.058605,38.090408,14.4,34.709999,55.059414,11.925005,21.55088,11.289979,11.44,32.299999,50.94611
"53",18.9295,32.445061,59.970001,68.080002,13.48,20.709139,47.317196,49.181118,87.991486,25.842325,35.678192,44.570225,13.46,32.32,52.853458,11.942951,21.422129,11.134254,13.73,32.880001,49.675774
"54",18.9204,34.565895,64.050003,90.639999,17.030001,20.907993,47.044308,56.271255,92.4524,25.950001,36.600063,49.51075,14.46,33.689999,52.051018,12.176247,21.154623,11.933487,14.37,34.77,50.054329
"55",19.1917,33.114796,55.48,72.230003,15.61,24.061237,42.66832,52.643063,86.640839,24.10556,39.39312,44.694939,13.72,31.629999,49.702412,11.242038,22.274805,10.439359,13.35,31.309999,54.202991
"56",19.1935,37.013786,61.82,82.099998,20.85,28.095957,46.147667,58.580368,88.957237,24.419382,39.542484,43.924908,13.96,33.580002,50.770489,11.432427,23.246294,8.759687,13.12,33.220001,56.190147
"57",18.6976,41.795494,56.700001,73.199997,19.379999,25.255007,41.625488,52.828163,84.535889,24.713593,34.043411,38.901066,11.77,31.76,47.611435,10.970054,23.771589,7.634115,13.13,31.25,53.389248
"58",18.423,41.2598,60.75,68.43,24.07,28.87508,48.701141,49.349403,80.720001,27.063501,38.215397,43.424446,13.49,36.900002,52.428501,11.755122,24.94231,11.303986,15.16,34.040001,53.71785
"59",18.537,39.365768,63.580002,62.990002,24.82,32.573532,46.90604,49.270054,83.44014,30.48329,37.081821,49.551304,13.27,47.25,53.752949,11.53523,26.321381,12.265609,17.280001,34.720001,53.135372
"60",18.6183,36.686863,64.529999,68.839996,27.440001,34.079269,52.27066,50.822021,80.768059,30.660189,34.658539,50.014851,13.65,47.990002,56.835079,11.480256,26.818001,13.073533,17.93,35.580002,48.347404
"61",18.9043,33.170807,58.040001,76.809998,27.209999,35.337231,49.185513,50.66486,77.061546,28.081388,32.033993,48.189632,17.190001,45.57,56.186096,10.811415,25.507385,12.354882,17.889999,33.77,46.690639
"62",19.525,35.612484,62.049999,85.949997,22.469999,38.368919,53.105808,54.000591,82.121246,31.565723,32.388733,52.853497,17.49,56.060001,62.184265,10.957685,24.991081,14.392699,17.18,32.240002,42.352669
"63",20.1382,36.965813,76.540001,81.309998,22.02,38.579628,54.51083,51.264145,76.762787,30.916101,27.376875,55.460796,18.459999,67.290001,64.093872,10.985497,23.610075,14.422863,17.299999,32.880001,41.65955
"64",20.4883,42.677208,72.989998,84.720001,20.9,34.585663,54.353626,48.714718,72.396996,26.489834,28.228565,56.66267,17.790001,61.889999,59.009712,11.541304,20.787994,13.47516,18.33,30.27,40.055714
"65",20.2691,54.112526,70.080002,99.639999,27.01,37.113968,54.784031,50.086685,78.805435,27.130638,25.050989,55.33226,18.67,67.290001,58.289371,11.344418,21.115913,14.61043,16.209999,30.99,39.638718
"66",19.8307,49.826668,71.760002,86.739998,29.74,36.565201,51.488674,44.580704,72.648308,25.878605,20.849373,54.466629,18.98,73.57,61.400906,12.019457,20.122047,14.884872,14.29,30.02,32.196178
"67",20.0542,51.997849,67.75,79.379997,24.07,33.368877,62.839344,38.245861,69.818733,27.893579,20.565367,55.789391,17,68.599998,62.477596,12.03104,21.216177,16.389194,14.28,33.490002,31.11886
"68",19.5332,50.999367,61.860001,70.089996,22.110001,31.718891,59.435135,38.853329,66.93911,26.165047,21.979053,45.366661,16.889999,82.339996,62.759834,12.173252,20.131994,15.736002,17.370001,30.379999,30.236057
"69",19.8806,52.429886,59.73,82.459999,17.99,31.399181,57.079895,41.743816,67.174545,24.792099,19.126417,46.21582,16.08,74.010002,66.878479,12.324944,19.852722,16.547497,15.77,29.17,26.140974
"70",20.9458,52.17622,68.389999,85.089996,8.33,33.879341,71.874352,50.098522,68.095413,26.19804,18.42185,51.954979,18.120001,75.610001,73.432663,12.761057,18.74758,18.88875,16.709999,41.400002,24.705585
"71",20.8872,53.201004,70.620003,89.769997,9.09,31.050653,76.872734,51.298756,73.287552,26.693089,15.209749,57.380581,18.620001,101.360001,73.303963,13.354935,19.076136,20.44628,19.51,44.110001,20.84763
"72",20.4966,45.2272,64.589996,80.339996,9.23,29.256832,68.027298,48.252583,75.942398,23.218405,11.96382,57.488308,18.559999,109.610001,65.69812,12.828019,16.964554,18.905853,21.91,41.91,17.639629
