"","GSPC","ADBE","AKAM","ALXN","AMGN","AMAT","BMRN","CHRW","CELG","CERN","CTAS","CSCO","CTXS","CME","CTSH","XRAY","DISH","DLTR","EBAY","EQIX","ESRX","FAST","FISV","GILD","HSIC","HOLX","ILMN","INTU","ISRG","KLAC","LRCX","LLTC","MXIM","MCHP","NFLX","NVDA","ORLY","PAYX","QCOM","REGN","ROST","SBAC","SBUX","SYMC","TROW","AMTD","PCLN","ULTA","VRSK","VRTX","XLNX"
"12",17.3584,30.780001,47.049999,40.275002,49.372608,12.281724,26.93,70.506889,29.57,23.684999,25.390358,17.311722,68.410004,49.415783,36.645,33.089073,17.632149,28.040001,11.712963,74.091522,54.049999,25.958151,29.280001,17.614155,61.389999,18.82,63.34,46.517063,257.75,25.960245,50.135216,29.3111,19.457565,28.103567,25.1,14.354519,60.419998,24.855696,43.456921,32.830002,14.921024,40.939999,14.750004,12.347656,54.966835,16.401011,399.549988,33.623768,34.080002,35.029999,25.058718
"13",18.153,33.049999,48.32,41.91,49.534485,13.71532,25.42,67.781219,25.764999,24.7125,25.481169,18.099009,63.18,47.390007,36.474998,34.357632,18.932589,25.290001,12.777778,80.619888,56.330002,25.156572,30.885,18.654284,65.660004,19.92,69.339996,44.280849,322.910004,29.615107,48.305252,29.480579,21.269869,29.960163,30.582857,22.29611,56.830002,25.979088,47.531281,33.68,15.38104,40.799999,14.47456,12.989381,56.142139,17.678963,428.519989,36.630131,33.830002,38.889999,27.843021
"14",18.667,34.5,37.529999,48.139999,46.162041,14.424825,24.459999,63.648754,26.549999,25.112499,25.535656,15.882628,70.160004,47.807755,38.435001,36.187843,20.851854,25.16,14.103536,78.814568,56.220001,27.134003,31.635,18.945908,68.980003,20.18,69.400002,49.611912,327.950012,32.968494,53.156109,29.485695,22.893021,30.321623,29.524286,21.121649,55.580002,27.302399,52.488132,36.27,17.047712,42.09,15.20087,13.299178,57.044914,18.873722,453.880005,41.26823,32.349998,46.669998,28.888428
"15",18.6047,33.16,38,49.34,48.068596,13.713679,25.129999,65.446457,28.790001,27.799999,27.497143,14.727433,73.459999,46.52774,40.700001,35.87001,21.847364,27.76,13.063973,83.063469,55.610001,28.313171,31.360001,20.642195,70.169998,22.200001,70.07,50.111996,333.459991,31.955534,54.860203,28.692244,21.249504,31.225273,33.968571,17.206779,57.459999,25.483862,48.303532,44.939999,16.830002,39.68,17.030689,13.675362,56.841675,18.06856,506.440002,47.597412,32.759998,47.93,28.497456
"16",18.9392,33.549999,34.43,48.435001,51.126278,13.775136,26.889999,70.787766,29.440001,30.045,28.196375,15.045169,84.339996,45.635914,41.450001,36.413052,22.457224,28.75,14.473906,91.780128,56.740002,29.418694,30.655001,18.877863,73.07,22.02,70.980003,52.423695,349.700012,29.645985,46.77544,29.69899,22.693806,33.714424,33.238571,18.642233,59.060001,26.803532,50.294521,51.040001,17.438173,38.630001,16.685005,14.494112,54.984608,18.691454,547.01001,52.601418,32.900002,55.049999,30.287237
"17",18.1287,34.630001,33.939999,47.419998,54.444767,12.169616,28.23,70.823082,30.455,30.025,29.830946,14.426873,87.620003,44.091419,38.02,38.051884,27.156738,31.870001,13.118687,92.454842,59.560001,29.098593,32.259998,20.287384,71.82,21.5,72.080002,50.92345,349,29.270924,45.497372,29.721087,22.79208,32.755108,38.685715,18.679518,60.110001,26.467566,51.813808,60.02,19.395205,39.290001,17.017504,14.42035,54.171604,18.70013,515.190002,55.360546,34.049999,53.990002,31.164379
"18",18.9392,31.450001,31.469999,47.029999,52.475254,11.489601,27.209999,69.857262,30.16,30.555,29.994404,13.40497,80,45.224457,36.669998,36.976692,27.506512,33.310001,13.58165,92.10836,53.98,31.562941,31.315001,20.126989,71.589996,20.17,75.150002,48.932556,372.109985,27.491579,42.873451,28.372082,21.378551,31.412754,37.527142,14.857859,65.510002,25.172867,50.221989,56.709999,19.012001,38.189999,18.266411,14.545745,51.915321,16.929909,511.929993,63.865387,34.619999,51.990002,31.854399
"19",17.582,27.709999,24.219999,56.799999,49.192741,10.880238,31.23,64.071266,29.65,33.244999,29.558519,13.766196,72.040001,44.852226,34.935001,36.792194,26.573782,33.115002,13.78367,95.254021,54.259998,29.623447,30.18,20.58873,66.459999,18.57,62.450001,44.063831,400.549988,27.043346,39.581455,25.175711,19.203894,27.965721,37.998573,12.891104,59.5,23.384279,48.44445,53.060001,17.979771,38.169998,18.543945,14.05892,48.869576,15.975308,537.650024,62.332535,33.299999,51.860001,28.037458
"20",16.4284,25.24,21.940001,57.950001,50.094097,10.06994,29.59,62.722683,29.735001,32.98,29.040905,13.507595,60.43,41.429256,31.725,34.180134,22.29579,35.715,12.992424,85.744118,46.939999,29.464987,27.915001,19.383347,65.910004,16.639999,52.099998,46.545372,381.350006,25.159885,35.979618,24.81893,19.476814,27.481695,33.572857,12.406406,64.879997,22.348845,45.712925,59.029999,18.217291,37.790001,17.927452,12.650078,46.013115,13.382366,537.26001,58.426247,34.84,45.27,27.372723
"21",14.9407,24.17,19.879999,64.059998,49.696236,9.215952,31.870001,60.916626,30.955,34.259998,25.553816,13.361054,54.529999,38.426811,31.35,29.849167,22.466192,37.57,12.411616,80.993729,37.07,29.29772,25.385,18.858421,62.009998,15.21,40.919998,44.762058,364.279999,26.25737,36.773571,23.969381,19.713409,26.057774,16.181429,11.660717,66.629997,21.843554,43.198982,58.200001,18.726566,34.48,17.310066,12.023106,41.359734,12.799389,449.459991,61.541386,34.77,44.459999,24.120344
